epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.345,3.05097,2.55617,1.14139,0.33306,0.2474,0.19327,0.06194,2.78636,2.28984,1.04151,0.000665021,0.000665021,0.000665021
2,420.042,3.01411,2.19956,1.10066,0.35102,0.26548,0.21758,0.06849,2.73859,1.8817,1.01087,0.00130772,0.00130772,0.00130772
3,621.265,2.99947,2.15647,1.08545,0.37373,0.26275,0.23051,0.07445,2.70052,2.18301,1.02267,0.00192641,0.00192641,0.00192641
4,823.575,2.93938,2.10332,1.07329,0.32883,0.24654,0.1837,0.05274,2.8065,1.78536,1.01484,0.001892,0.001892,0.001892
5,1024.91,2.90411,2.07677,1.07455,0.3947,0.27753,0.24316,0.08198,2.66158,1.82892,1.01828,0.001856,0.001856,0.001856
6,1225.02,2.86364,2.01429,1.05428,0.39406,0.29648,0.263,0.08645,2.60651,1.70931,0.98881,0.00182,0.00182,0.00182
7,1428.07,2.82886,1.99176,1.05336,0.39212,0.28571,0.25947,0.08754,2.60939,1.63394,0.98535,0.001784,0.001784,0.001784
8,1628.44,2.81756,1.96858,1.04898,0.40845,0.30659,0.28029,0.08952,2.63739,1.58957,0.98237,0.001748,0.001748,0.001748
9,1829.92,2.78656,1.93887,1.048,0.42543,0.2944,0.27996,0.0969,2.55792,1.53838,0.99078,0.001712,0.001712,0.001712
10,2031.44,2.76885,1.92755,1.03956,0.46474,0.30674,0.3075,0.10574,2.49509,1.46787,0.98113,0.001676,0.001676,0.001676
11,2231.4,2.75581,1.90998,1.04172,0.46514,0.30222,0.30296,0.10316,2.53801,1.52737,0.98347,0.00164,0.00164,0.00164
12,2431.43,2.72669,1.88605,1.0334,0.43331,0.31621,0.30202,0.10093,2.54263,1.53627,0.97112,0.001604,0.001604,0.001604
13,2632.52,2.73144,1.87359,1.0287,0.42306,0.31298,0.29908,0.10207,2.57473,1.5188,0.98182,0.001568,0.001568,0.001568
14,2831.27,2.70462,1.84954,1.02924,0.46786,0.33593,0.32966,0.11251,2.468,1.48922,0.96356,0.001532,0.001532,0.001532
15,3030.11,2.68585,1.85067,1.02518,0.48864,0.3292,0.33533,0.11979,2.43695,1.46779,0.96285,0.001496,0.001496,0.001496
16,3229.93,2.68059,1.82988,1.0295,0.48804,0.32625,0.33692,0.11819,2.44985,1.46258,0.96238,0.00146,0.00146,0.00146
17,3428.36,2.66853,1.8451,1.02861,0.45985,0.33013,0.33102,0.11499,2.45993,1.45954,0.96403,0.001424,0.001424,0.001424
18,3629.2,2.67313,1.82495,1.02499,0.48893,0.3356,0.33772,0.12014,2.41679,1.43877,0.96182,0.001388,0.001388,0.001388
19,3829.27,2.67254,1.81125,1.02089,0.51266,0.33199,0.34583,0.12418,2.40642,1.389,0.95962,0.001352,0.001352,0.001352
20,4027.9,2.66485,1.81689,1.01916,0.50506,0.35237,0.36027,0.12929,2.38213,1.55517,0.95478,0.001316,0.001316,0.001316
